,text,rating,date,category,source
0,clash royale 👎 no,1,2025-11-25 18:41:35,Play_Store_Updates,Google_Play
1,a really nice game,5,2025-11-25 18:36:41,Play_Store_Updates,Google_Play
2,Really frustrating game forcing you to pay in order to get any progress as well as takes away skill from the game overall a bad game unbalanced and pay to win I do not recommend to casual players,1,2025-11-25 18:35:20,Play_Store_Updates,Google_Play
3,great,5,2025-11-25 18:34:48,Play_Store_Updates,Google_Play
4,It's a great game but I think that there should be an offline game mode,5,2025-11-25 18:32:07,Play_Store_Updates,Google_Play
5,best game in 2025,5,2025-11-25 18:30:25,Play_Store_Updates,Google_Play
6,💎,5,2025-11-25 18:29:56,Play_Store_Updates,Google_Play
7,The game is so good and makes an intense pressure while playing and overall very fun and competitive but i want to ask a question how the get over 10 elixir?,5,2025-11-25 18:29:14,Play_Store_Updates,Google_Play
8,بینضیر,5,2025-11-25 18:29:04,Play_Store_Updates,Google_Play
9,useless with a new update,1,2025-11-25 18:24:57,Play_Store_Updates,Google_Play
10,lvl 16 is a joke. they promised lvl 15 would be max! This update is purely a cash grab. the game is even more p2w now. Cannot recommend.,1,2025-11-25 18:22:11,Play_Store_Updates,Google_Play
11,Do not waste your time with this game. The devs will always move the goalposts as to what makes an account competitive so that the only way to truly compete is to swipe your credit card many times. They add new levels and completely unbalanced powerful cards only to nerf them the second their is a new overpowered card (of course you will need to pay money to have a reasonable chance of playing with these cards at a high level),1,2025-11-25 18:21:56,Play_Store_Updates,Google_Play
12,"This game is an absolute banger, Supercell's take on real time strategy with millions of different possibilities at the tip of your fingers is incredibly well executed overall, that being said, in its current state I'd say it can become frustrating to play as its pay to fast scheme gives players too much of an advantage over free to play. This issue has been growing worse over time, leaving certain players outside of the competitive scene. All in all, great game, HORRENDOUS progression.",2,2025-11-25 18:20:01,Play_Store_Updates,Google_Play
13,it was fun at first but the new hero update sucks and I'm quitting,2,2025-11-25 18:19:54,Play_Store_Updates,Google_Play
14,i got mega knight spamed,1,2025-11-25 18:19:30,Play_Store_Updates,Google_Play
15,i love this game. it has such a variety of cards to play and it is really fun. the only part i dont like is a me problem because i struggle countering some decks which are for losers so i lose trophies but thats part of the game. you win some you lose some.,5,2025-11-25 18:16:47,Play_Store_Updates,Google_Play
16,"great game,garbage company.",1,2025-11-25 18:16:12,Play_Store_Updates,Google_Play
17,money hungry company and will stop at nothing to rinse their players dry,1,2025-11-25 18:15:40,Play_Store_Updates,Google_Play
18,nerf the inferno tower pls like its actually the most annoying thing to play against. it has a lot of health and does insane damage over time. nerf its health or damage over time,2,2025-11-25 18:11:36,Play_Store_Updates,Google_Play
19,poor screen resolution and screen quality so bad it affects your eyes but good game,3,2025-11-25 18:10:10,Play_Store_Updates,Google_Play
20,Pretty good edit lafz e Golem ziz game trash,1,2025-11-25 18:08:31,Play_Store_Updates,Google_Play
21,"worst update of all time, remove lvl 16",1,2025-11-25 18:08:24,Play_Store_Updates,Google_Play
22,Fun gameplay but too many mechanics and levels involved for a fair game,2,2025-11-25 18:06:13,Play_Store_Updates,Google_Play
